,title,company,location,salary,summary
0,Customer Experience Associate - PM,Discord,"Hybrid remote in San Francisco, CA 94107+1 location",,You will need to have epic levels of empathy and unwavering patience as they troubleshoot diabolical technical issues.
1,Technical Sourcer,Discord,"Remote in San Francisco, CA 94107+1 location",,"#buildbelonging #LI-Remote #LI-EG1Benefits and Perks Comprehensive medical insurance including Health, Dental and Vision (plus up to $20,000 for gender…"
2,newDesigner (Questing) - Sanzaru Games,Oculus,"Foster City, CA",,We are interested in all levels of game designers with a broad skillset spanning both systems and level design.Demonstrable interest in VR development.
3,Junior Technical Artist - Rigging (Contract),Ascendant Studios,"Temporarily Remote in San Rafael, CA 94901+3 locations",,Knowledge of technical challenges within 3D game engines related to rigging.They should enjoy collaborating with modelers and animators alike to support the…
4,Environment Artist,Tippett Studio,"Berkeley, CA 94710+1 location",,Help streamline environment-related processes by identifying solutions and communicating them to environment artists as well as artists in other departments.
5,Concept Artist,Meta,"Burlingame, CA 94010",,"Define and evolve artistic direction, vision and high production standards within the team in direct collaboration with creative, technical and production…"
6,Technical Experience Designer (Apex Legends),Electronic Arts,"Redwood City, CA 94065 (Dolphin area)",,Day to Day - Our experience designers’ tasks include developing new menus and flows in our scripting language based on wireframe prototypes that have been…
7,"Developer Relationship Manager, YouTube",YouTube,"San Bruno, CA",,"Experience working with technical teams.Manage the relationship between YouTube and technical stakeholders.In discussions with business stakeholders, you will…"
8,Tech Artist,FREE RANGE GAMES,"Sausalito, CA 94965",,"5+ years experience as a technical artist (or equivalent capacity) in 3D games, simulators, or other high-performance real time systems."
9,Technical Artist - Rigging,Ubisoft,"San Francisco, CA 94107 (Financial District/South Beach area)+6 locations",,"Based on the models provided by the Modeling Department, carry out the rigging and skinning of weapons or characters to meet the needs of project animators and…"
10,Environment Artist,Activision,"San Francisco, CA+2 locations",,"Troubleshoots technical and artistic issues, asks for help when necessary.Research subject matter relating to objectives to ensure an authentic experience."
11,Visualization Artist,Gensler,"San Francisco, CA",,"Operate as the Lead 3D artist on stills, animation, and real-time projects.With a passion for communicating design through computer graphics, artists will…"
12,Technical Artist,GSN Games,"Remote in San Francisco, CA 94104",,Minimum of 3 years professional experience as a technical artist.Ensure all art assets meets the technical and creative requirements for Unity 3D.
13,Metaverse UI/UX Artist,Accenture,"San Francisco, CA",,A UI/UX Artist who thrives on collaborating with Designers and Developers to realize and execute established UI/UX Designs by creating efficient 2D and 3D art…
14,Box Office Treasurer,American Conservatory Theater,"Hybrid remote in San Francisco, CA",,Provide technical support and guidance to patrons using the A.C.T. website.STATUS: * Full Time or Part-Time/Seasonal/Non-Exempt.
15,Box Office Treasurer,American Conservatory Theater,"Hybrid remote in San Francisco, CA",,Provide technical support and guidance to patrons using the A.C.T. website.STATUS: * Full Time or Part-Time/Seasonal/Non-Exempt.
16,"Product Designer, Online Checkout",Square,"San Francisco, CA",,"You will also partner with product and engineering teams to set a long-term design vision for how we extend technical capabilities to new internal, developer,…"
17,"newReporting & Business Specialist, Client Services",Sephora,"Remote in San Francisco, CA 94105",,"Reporting to the Client Services, Manager of Analytics and Systems, you will use technical and analytical savvy to drive efficiencies and provide insights that…"
18,"newMarketing Associate, Email, Dotca Retention Operation",Sephora,"Remote in San Francisco, CA 94105",,"Reporting to the Senior Manager, Retention Operations, you will use your technical expertise and execution skills to work closely with internal and external…"
19,"Developer Compliance Specialist, Developer Support",Discord,"Hybrid remote in San Francisco, CA 94107",,"If you realize the technical underpinnings of how bots and apps function across Discord, this may be a great fit for you!"
20,"ILMxLAB Environment Artist San Francisco, CA",Industrial Light & Magic,"San Francisco, CA+2 locations",,"Participate in R&D, problem solving artistic solutions to technical problems.Create a wide range of exciting and believable models and textures from concept…"
21,Engineering Manager - Game Studio,Discord,"Remote in San Francisco, CA 94107",,Use your technical expertise to constantly improve and ensure your team achieves extraordinary results at the high technical level we set.
