,title,company,location,salary,summary
0,newBrand Designer (Remote),SnapTravel,"Remote in Seattle, WA",,"When in the office, enjoy daily snack services and unlimited coffee, tea, and other drinks.3-5 years in-house creative or agency creative experience (Bonus…"
1,"Language Engineer, Comms AI Language Understanding Experienc...",Amazon.com Services LLC,"Seattle, WA",,"Experience in Perl, Python or another scripting language.Experience working with speech and text language data in multiple languages.A day in the life."
2,Content Designer II,Expedia.com,"Seattle, WA 98119 (Queen Anne area)+1 location",,At least 2-4 years related professional experience as a content designer or content strategist.Bachelor's degree in a related field; or equivalent related…
3,newLead User Experience Designer,Expedia Group,"Seattle, WA+1 location",,"Bachelor's or Equivalent Experience; Human-Computer Interaction, User Experience or related Design field or relevant experience professional experience."
4,Lead Content Designer,Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"5-10 years related professional experience as a content designer or content strategist.Partner with your fellow designers to define the edges, depths, and…"
5,newEarly Career Data Scientist - Artificial Intelligence,Pacific Northwest National Laboratory,"Seattle, WA 98109 (Westlake area)",,"Experience applying machine learning and artificial intelligence to domain specific applications, such as geospatial intelligence, natural language processing,…"
6,"Multimodal Designer, Alexa, Alexa Feedback",Amazon.com Services LLC,"Seattle, WA",,"3+ years of experience as a product designer, user experience designer, or multimodal designer.Recent experience with voice or multimodal speech interfaces."
7,"UX Designer, Alexa, Automations",Amazon.com Services LLC,"Seattle, WA+4 locations",,"3+ years of experience as a product designer, user experience designer, or multimodal designer.Recent experience with voice or multimodal speech interfaces."
8,"AI/ML- Machine Learning Engineer, Information Intelligence",Apple,"Seattle, WA+3 locations",,"Experience in natural language processing, machine learning or deep learning.MS or Ph.D in Computer Science, Machine Learning or related field."
9,"Technical Program Manager, Alexa AI - Conversational Experie...",Amazon.com Services LLC,"Seattle, WA+6 locations",,"Experience working with machine learning technologies, statistical systems or big data platforms.We’re looking for a Technical Program Manager to help build…"
10,"Staff Software Engineer, TensorFlow Federated",Google,"Hybrid remote in Seattle, WA",,"Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and…"
11,UX Writer,Grid Dynamics,"Seattle, WA 98101 (Downtown area)",,"As our first UX Writer, you will partner closely with a cross-functional team of designers to author clear, concise, conversational text that helps customers do…"
12,Principal User Experience Designer,Oracle,"Seattle, WA+2 locations",,BS or MS degree or equivalent experience relevant to functional area.Typically seven years of software engineering or related experience needed.
13,newSenior Visual Designer (Remote),SnapTravel,"Remote in Seattle, WA",,5-7 (or more) years in-house or agency creative experience (Bonus points for working within a startup environment).
14,"Senior User Experience Designer, Integration",Oracle,"Seattle, WA+3 locations",,BS or MS degree or equivalent experience relevant to functional area.Typically four years of software engineering or related experience needed.
15,Content Designer II,Expedia.com,"Seattle, WA 98119 (Queen Anne area)+1 location",,At least 2-4 years related professional experience as a content designer or content strategist.Bachelor's degree in a related field; or equivalent related…
16,Senior Data Scientist 3 - Applied AI,Pacific Northwest National Laboratory,"Remote in Seattle, WA 98109+1 location",,This position requires thought leadership and technical depth to support the development and advancement of natural language processing research and…
17,AI Sales Representative - Oregon / Washington / Idaho - West...,IBM,"Remote in Seattle, WA 98101",,"Prior experience selling Data & AI services.IBM’s market leading solutions in customer care, conversational AI, natural language processing, forecast, budget…"
18,"Multimodal Designer, Alexa, Alexa Feedback",Amazon.com Services LLC,"Seattle, WA",,"3+ years of experience as a product designer, user experience designer, or multimodal designer.Recent experience with voice or multimodal speech interfaces."
19,"Applied Scientist, Alexa AI, Ambient Explorer Suggested Hint...",Amazon.com Services LLC,"Seattle, WA",,"Experience programming in Java, C++, Python or related language.Your work will directly impact Amazon products and services that make use of speech and…"
20,"Applied Science Manager, Alexa AI",Amazon.com Services LLC,"Seattle, WA+1 location",,5+ years of experience building natural language processing systems.Master's degree in Computer Science or related field.
21,Senior Principal SDE - AI Services (JoinOCI),Oracle,"Seattle, WA",,"You are experienced at building highly available services, possessing knowledge of common service-oriented design patterns and service-to-service communication…"
22,"Applied Science Manager, Alexa AI - Web-scale Information Ex...",Amazon.com Services LLC,"Seattle, WA",,"Experience programming in Java, C++, Python or related language.Publications in top-tier IR and/or ML conferences and journals."
23,"Research Scientist, Alexa Communications AI",Amazon.com Services LLC,"Seattle, WA",,"PhD in Electrical Engineering, Computer Sciences, or Mathematics with specialization in natural language processing, dialog management, natural language…"
24,newChatbot Developer - Solution Specialist - Location Open,Deloitte,"Seattle, WA 98104 (Downtown area)",,"Bachelor's degree, preferably in Computer Science, Information Technology, Computer Engineering, or related IT discipline; or equivalent experience."
25,"AI/ML- Machine Learning Engineer, Information Intelligence",Apple,"Seattle, WA+3 locations",,"Experience in natural language processing, machine learning or deep learning.MS or Ph.D in Computer Science, Machine Learning or related field."
26,"Engineering Manager, Applied Science, Core",Google,"Seattle, WA (Fremont area)",,"Master's degree or PhD in Computer Science, Engineering or related technical field.3 years of experience with machine learning algorithms and tools (e.g.,…"
27,"Senior S D E., Alexa AI team",Amazon.com Services LLC,"Seattle, WA",,"As a senior developer on our team, you'll set technical direction for all parts of the Q&A pipeline - natural language understanding, language and visualization…"
28,"Senior User Experience Designer, Integration",Oracle,"Seattle, WA+3 locations",,BS or MS degree or equivalent experience relevant to functional area.Typically four years of software engineering or related experience needed.
29,"Applied Scientist, Alexa AI",Amazon.com Services LLC,"Seattle, WA+13 locations",,"Experience programming in Java, C++, Python or related language.Experience in building information retrieval, machine learning, and natural language processing…"
