,title,company,location,salary,summary
0,"Field Support Specialist - Los Angeles, CA",Williams Sonoma,"Los Angeles, CA",,"Since 2012, our team of inventors, technologists, brand experts, and changemakers, have been reinventing the retail customer shopping journey through…"
1,newTalent Acquisition Specialist - Tech (Remote),FloQast,"Remote in Los Angeles, CA 91411",,"We are looking for motivated individuals with technical recruiting experience, from sourcing and attracting candidates to interviewing and hiring great…"
2,Artificial Intelligence Specialist,Accenture,"Los Angeles, CA 90013 (Downtown area)",,"The Artificial Intelligence Specialist will provide strategy, architecture, and guidance to govern the product development activities for the enhancement,…"
3,Technology Specialist - REMOTE,Deloitte,"Remote in Los Angeles, CA 90013",,"By joining our team, you can help clients achieve impact and value from their investments in both people and technology that support enterprise-wide operations,…"
4,Amazon Connect Specialist Leader,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,If you are a highly technical person and can dive deep and build complex AWS optimized architectures and assist Clients in building and deploying Amazon Connect…
5,Cloud Software Engineer Specialist,Accenture,"Los Angeles, CA 90013 (Downtown area)",,"To accelerate our customer's transformation leveraging cloud, we combine world-class learning and talent development expertise; deep experience in cloud change…"
6,Amazon Connect Specialist Senior,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,If you are a highly technical person and can dive deep and build complex AWS optimized architectures and assist Clients in building and deploying Amazon Connect…
7,Chatbot Architect/ Integration Specialist,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"Chatbot solution architect and integrations specialist supports the infrastructure, maintenance, and operations of the Google Dialogflow chatbots/voicebots, as…"
8,TMT/Telecommunications Cloud Transformation Specialist Maste...,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"We are poised to help clients shape their evolving business models, scale and transform their operations, modernize their processes and technologies, and…"
9,Product Support Specialist,FloQast,"Los Angeles, CA 91411 (Van Nuys area)",,"Visa sponsorship is NOT available at this time.Take ownership of reported customer issues, research, troubleshoot, identify solutions, and communicate directly…"
10,"Full Stack Development, Specialist Master - Applied AI",Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"At Deloitte you will manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for…"
11,Google Cloud Architect Specialist Master,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"In partnership with other leaders in the firm, you will focus on developing, selling and delivering leading edge cloud solutions using Google Cloud and, as a…"
12,Core Technology Operations - Application Lifecycle Managemen...,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"You will work with global functional and technical teams on engagements that leverage a high degree of automation, the latest technologies and cut across…"
13,Core Technology Operations - Application Lifecycle Managemen...,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"You will work with global functional and technical teams on engagements that leverage a high degree of automation, the latest technologies and cut across…"
14,Luxury Account Specialist,The RealReal,"Los Angeles, CA",,"The RealReal is looking for independent, entrepreneurial individuals who have the ability to work with very discerning clientele and have a passion for luxury…"
15,"Field Support Specialist - Los Angeles, CA",Williams Sonoma,"Los Angeles, CA",,"Since 2012, our team of inventors, technologists, brand experts, and changemakers, have been reinventing the retail customer shopping journey through…"
16,newTalent Acquisition Specialist - Tech (Remote),FloQast,"Remote in Los Angeles, CA 91411",,"We are looking for motivated individuals with technical recruiting experience, from sourcing and attracting candidates to interviewing and hiring great…"
17,Artificial Intelligence Specialist,Accenture,"Los Angeles, CA 90013 (Downtown area)",,"The Artificial Intelligence Specialist will provide strategy, architecture, and guidance to govern the product development activities for the enhancement,…"
18,Technology Specialist - REMOTE,Deloitte,"Remote in Los Angeles, CA 90013+4 locations",,"By joining our team, you can help clients achieve impact and value from their investments in both people and technology that support enterprise-wide operations,…"
19,Cloud Software Engineer Specialist,Accenture,"Los Angeles, CA 90013 (Downtown area)",,"To accelerate our customer's transformation leveraging cloud, we combine world-class learning and talent development expertise; deep experience in cloud change…"
20,TMT/Telecommunications Cloud Transformation Specialist Maste...,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"We are poised to help clients shape their evolving business models, scale and transform their operations, modernize their processes and technologies, and…"
21,Product Support Specialist,FloQast,"Los Angeles, CA 91411 (Van Nuys area)",,"Visa sponsorship is NOT available at this time.Take ownership of reported customer issues, research, troubleshoot, identify solutions, and communicate directly…"
22,"Full Stack Development, Specialist Master - Applied AI",Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"At Deloitte you will manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for…"
23,Google Cloud Architect Specialist Master,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"In partnership with other leaders in the firm, you will focus on developing, selling and delivering leading edge cloud solutions using Google Cloud and, as a…"
24,Core Technology Operations - Application Lifecycle Managemen...,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,"You will work with global functional and technical teams on engagements that leverage a high degree of automation, the latest technologies and cut across…"
25,Luxury Account Specialist,The RealReal,"Los Angeles, CA",,"The RealReal is looking for independent, entrepreneurial individuals who have the ability to work with very discerning clientele and have a passion for luxury…"
26,FIne Jewelry & Watch Specialist,The RealReal,"Los Angeles, CA",,Total potential compensation over $27 per hour compensation with incentive pay programs.Base Pay Plus Incentive Pay Programs.$50 in monthly food credits.
27,QA and ML Data Labeling Specialist at Series A Startup,Recruiting From Scratch,"Remote in Los Angeles, CA 90013",,They are shifting the entire landscape of data protection technology through automation and machine learning.Develop and improve QA and data labeling workflows…
28,newInside Sales Account Manager (Luxury Account Specialist),The RealReal,"Remote in Los Angeles, CA",,"As an LAS, you will drive repeat business by acquiring consigned items from our existing clients.Base Pay PLUS uncapped commission."
29,EdTech Specialist,SADA,"Los Angeles, CA",,"You will apply your EdTech industry and solution expertise toward guiding engineering efforts in developing compelling, repeatable solutions, supporting…"
30,Amazon Connect Specialist Leader,Deloitte,"Los Angeles, CA 90013 (Downtown area)",,If you are a highly technical person and can dive deep and build complex AWS optimized architectures and assist Clients in building and deploying Amazon Connect…
