,title,company,location,salary,summary
0,"Design Technologist, Retail & Appointments",Square,"San Francisco, CA",,"Participate in concept development iteration, partnering on projects from ideation and design through implementation.2+ years of relevant work experience."
1,"Sr Design Technologist, Developer Center","Amazon Dev Center U.S., Inc.","Remote in San Francisco, CA+2 locations",,"6+ years of UX/UI design experience.Bachelor's degree in a design related field or equivalent experience.Excellent interpersonal skills, including an ability…"
2,"Creative Technologist, Creative Shop Labs",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)",,Experience with graphic design (Adobe Suite).Portfolio of projects that demonstrate your skills as a technologist/developer.
3,"Design Technologist, Block Brand + Purpose",Block,"San Francisco, CA",,We're looking for a design technologist to help bring the Block brand to life through creative interactive experiences.Experience with WebGL and GLSL.
4,Sr. Design Technologist,PlayStation Global,"San Francisco, CA",,Working knowledge of design tools such as Sketch and Figma.Contribute to the development of custom design tools and plugins using modern web technologies.
5,"Design Technologist, Retail & Appointments",Square,"San Francisco, CA",,"Participate in concept development iteration, partnering on projects from ideation and design through implementation.2+ years of relevant work experience."
6,"Sr Design Technologist, Developer Center","Amazon Dev Center U.S., Inc.","Remote in San Francisco, CA+1 location",,"6+ years of UX/UI design experience.Bachelor's degree in a design related field or equivalent experience.Excellent interpersonal skills, including an ability…"
7,"Creative Technologist, Creative Shop Labs",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)",,Experience with graphic design (Adobe Suite).Portfolio of projects that demonstrate your skills as a technologist/developer.
8,"Design Technologist, Block Brand + Purpose",Block,"San Francisco, CA",,We're looking for a design technologist to help bring the Block brand to life through creative interactive experiences.Experience with WebGL and GLSL.
9,Sr. Design Technologist,PlayStation Global,"San Francisco, CA",,Working knowledge of design tools such as Sketch and Figma.Contribute to the development of custom design tools and plugins using modern web technologies.
10,"Design Technologist, Retail & Appointments",Square,"San Francisco, CA",,"Participate in concept development iteration, partnering on projects from ideation and design through implementation.As our sellers scale, so do our solutions."
11,"Sr Design Technologist, Developer Center","Amazon Dev Center U.S., Inc.","Remote in San Francisco, CA+2 locations",,"6+ years of UX/UI design experience.Bachelor's degree in a design related field or equivalent experience.Excellent interpersonal skills, including an ability…"
12,"Creative Technologist, Creative Shop Labs",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)",,Experience with graphic design (Adobe Suite).Portfolio of projects that demonstrate your skills as a technologist/developer.
13,"Design Technologist, Block Brand + Purpose",Block,"San Francisco, CA",,We're looking for a design technologist to help bring the Block brand to life through creative interactive experiences.No idea is too out there.
14,Sr. Design Technologist,PlayStation Global,"San Francisco, CA",,"A group that celebrates the value of design, design thinking and design process.Working knowledge of design tools such as Sketch and Figma."
15,"Design Technologist, Retail & Appointments",Square,"San Francisco, CA",,"Participate in concept development iteration, partnering on projects from ideation and design through implementation.2+ years of relevant work experience."
16,"Sr Design Technologist, Developer Center","Amazon Dev Center U.S., Inc.","Remote in San Francisco, CA+2 locations",,"6+ years of UX/UI design experience.Bachelor's degree in a design related field or equivalent experience.Excellent interpersonal skills, including an ability…"
17,"Creative Technologist, Creative Shop Labs",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)",,Experience with graphic design (Adobe Suite).Portfolio of projects that demonstrate your skills as a technologist/developer.
18,"Design Technologist, Block Brand + Purpose",Block,"San Francisco, CA",,We're looking for a design technologist to help bring the Block brand to life through creative interactive experiences.Experience with WebGL and GLSL.
19,Sr. Design Technologist,PlayStation Global,"San Francisco, CA",,Working knowledge of design tools such as Sketch and Figma.Contribute to the development of custom design tools and plugins using modern web technologies.
20,"Sr Design Technologist, Developer Center","Amazon Dev Center U.S., Inc.","Remote in San Francisco, CA+2 locations",,"6+ years of UX/UI design experience.Bachelor's degree in a design related field or equivalent experience.Excellent interpersonal skills, including an ability…"
21,"Design Technologist, Retail & Appointments",Square,"San Francisco, CA",,"Participate in concept development iteration, partnering on projects from ideation and design through implementation.2+ years of relevant work experience."
22,"Creative Technologist, Creative Shop Labs",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)",,Experience with graphic design (Adobe Suite).Portfolio of projects that demonstrate your skills as a technologist/developer.
23,"Design Technologist, Block Brand + Purpose",Block,"San Francisco, CA",,We're looking for a design technologist to help bring the Block brand to life through creative interactive experiences.Experience with WebGL and GLSL.
24,Sr. Design Technologist,PlayStation Global,"San Francisco, CA",,Working knowledge of design tools such as Sketch and Figma.Contribute to the development of custom design tools and plugins using modern web technologies.
25,"Design Technologist, Retail & Appointments",Square,"San Francisco, CA",,"Participate in concept development iteration, partnering on projects from ideation and design through implementation.2+ years of relevant work experience."
26,"Sr Design Technologist, Developer Center","Amazon Dev Center U.S., Inc.","Remote in San Francisco, CA+2 locations",,"6+ years of UX/UI design experience.Bachelor's degree in a design related field or equivalent experience.Excellent interpersonal skills, including an ability…"
27,"Creative Technologist, Creative Shop Labs",Meta,"San Francisco, CA 94105 (Financial District/South Beach area)",,Experience with graphic design (Adobe Suite).Portfolio of projects that demonstrate your skills as a technologist/developer.
28,"Design Technologist, Block Brand + Purpose",Block,"San Francisco, CA",,We're looking for a design technologist to help bring the Block brand to life through creative interactive experiences.Experience with WebGL and GLSL.
29,Sr. Design Technologist,PlayStation Global,"San Francisco, CA",,Working knowledge of design tools such as Sketch and Figma.Contribute to the development of custom design tools and plugins using modern web technologies.
